level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
3,region,Other developed economies,54726.55814,35470.71644,23918.67334,16122.07475,25581.31134,31389.52233,33753.64315,35411.29582,32531.38554,28627.39915,43222.47987,51163.70583,43632.03823,51870.9093,50066.79902,19968.81782,99325.42588,119238.4004,186584.5071,109305.6293,112969.8488,148714.9132,163122.5836,169946.0229,182143.2231,161423.6137,202976.8407,214267.2952,197456.1313,286309.0813,141493.5362,224028.7723,354309.1217
4,country,Australia,194.3702871,417.5235246,4591.488268,1409.667066,2187.534272,2532.931069,6174.3853,5804.598554,2547.382572,-14.83918836,2864.05037,10454.4232,6579.519277,15023.57466,7390.329105,-35783.17945,20007.22908,11897.21104,30395.57785,16409.4245,19803.51508,1716.414139,7891.894914,1441.342292,18185.25997,-9337.460277,2304.472908,7799.901898,7824.944785,9960.326922,6034.746763,3401.380985,116561.8341
4,country,Bermuda,0,0,0,0,0,0,0,18,47.3999999,28.6999999,13.9,22.8,22.3999999,26,30.6999999,31.3,579,104.85,322.89,21.38,-33.07,-336.7,241,50,119.718,-84.467,72,-41.5616017,-35.0283023,-38.367133,-11.229974,-26.781991,15.6933333
4,country,Israel,261,355,256.218,744.6939999,673.916,574.154,436.7629999,750.0119999,1162.791,829.556,3335.365,687.5499999,980.98,2109.547,4545.128,2948.633,15462.697,8633.134,7213.517,1776.283,7998.886,7400.746,2275.709,3858.293,4525.503,10968.5,14578.51,7624.335,6086.597,8689.607,4424.594,9455.57,9241.393
4,country,Japan,50774.90469,31638.29645,17304.24553,13913.02002,18120.89073,22630.33226,23427.81051,25993.08792,24152.06677,22743.01579,31557.38319,38332.88927,32280.79322,28800.47269,30951.40628,45781.24626,50265.9464,73548.81703,128019.5387,74698.74137,56263.41224,107599.1459,122548.7307,135748.8233,130843.1812,136248.5192,155936.7476,164587.8519,144982.1225,232627.1713,95666.35333,146782.3858,161470.1168
4,country,"Korea, Republic of",1133.2,1591.2,1375.7,1443.5,2590.1,3868.5,4953.3,4411.3,4220.3,3967.2,4842.1,2743.5,3437.2,5018.8,7195.6,8330,12563.1,21831,19536.5,17400.5,28221.6,29647.7,30598.7,28317.8,27998.5,23687.1,29889.5,34069.4,38220.4,35239,34832.4,66000.6,66407.6
4,country,New Zealand,2363.083164,1468.69646,391.0215438,-1388.806329,2008.870337,1783.605008,-1238.615665,-1565.702649,401.4452027,1073.766544,609.681303,-1077.456647,331.1457365,892.5149527,-46.3643715,-1339.181987,447.4534065,3223.388306,1096.483521,-1000.699615,715.5055014,2687.607145,-433.4510808,529.7643943,471.0609492,-58.57822285,195.6102553,227.3680022,377.0953006,-168.6568393,546.6720448,-1584.382515,612.4844105
2,region,Developing economies,11974.77583,9503.005703,20998.79586,32821.40075,43075.67629,48276.57635,55314.56332,59668.16076,37206.532,50348.03565,83948.42206,54936.19996,36365.15219,35703.42772,106932.6915,103260.0483,188900.9354,256212.9231,257067.2641,231107.3471,336866.4631,357921.1223,330002.4852,392571.2094,427539.2513,391546.2659,385889.7782,447709.375,376937.6351,398392.8244,381920.6305,484893.0844,458890.3109
3,region,Africa,658.2757643,1336.071191,2385.002853,575.6480626,1912.415175,2975.567065,1817.364618,3556.959739,1618.926937,2603.132343,1548.069778,-2639.460539,367.8218495,1376.662017,2960.874432,2010.992092,8186.039521,10839.71267,9954.61386,6375.477804,10398.66631,5317.948376,10527.43488,11031.87489,10523.06387,9539.630504,8382.52148,11271.82786,8107.969707,4965.216355,1140.380011,3148.588987,5816.640984
4,region,North Africa,135.2227998,262.6349999,-109.8919999,-429.549,122.0506165,132.5015365,98.6211899,467.8969517,324.4536233,291.6172816,248.4138902,299.3144164,25.0290819,129.7362549,724.1680794,286.757852,1134.313031,5404.323872,8653.777945,2498.191452,4780.820747,1490.309903,3098.365994,392.0934269,769.5345478,1364.095196,1514.733018,1369.852175,2269.299043,1727.294778,355.7128402,993.8709442,1108.341166
5,country,Algeria,4.6887999,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1,7.5999999,13.6999999,9.3,98.5699999,28.320633,245.449809,-20.193425,33.973133,150.627112,317.982705,214.813772,220.493962,533.510476,-41.3013347,-268.410758,-18.2972368,103.2047136,46.856674,-17.5446015,854.1769342,30.9898537,14.6702177,-51.5396844,71.1362362
5,country,Egypt,12,62,4,25,62.2999999,34.2,4.9,165.9,45.5,37.5,51.2,12.4,27.8,20.6999999,158.9,92,148.4,664.7999998,1920.2,571.1,1175.5,625.5,211.0999999,301,252.6999998,181.6999998,206.5999999,199,323.5,405,326.5,367,341.8
5,country,Libya,105.2339999,173.834,-150.5929999,-479.35,28.0496166,82.9005366,63.32019,284,255.788,225.954,98,175,-136,63,286,128,474,3947,5888.2,1165,2722,131,2509,6,77,394.7989999,440,110,275.5377969,376.5,-487.2,-55.35,50
5,country,Morocco,13,23,32,23,24,12,28,8.795951752,20.36562332,18.06328165,58.51998945,97.0538795,28.32876612,12.28277966,29.80372169,74.61920517,444.8825433,621.6058191,485.1922434,470.2560475,588.7734105,178.9892792,406.12208,331.9612159,436.3373359,653.2948942,579.6596067,1020.945109,782.0818482,892.9949186,458.3626545,644.4913291,615.1175219
5,country,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.2,0
5,country,Tunisia,0.3,3.7999999,4.7,1.8,7.7,3.3999999,2.3999999,9.1999999,1.8,2.5,26.99390084,5.56053687,6.330315883,5.432842308,4.014548725,12.33207187,33.05735451,20.29094088,42.20299641,77.02163271,74.05337432,21.31014789,13.44524903,21.54296899,21.79444889,31.09658804,241.6167372,57.45166723,34.00246405,21.81000554,43.37996798,35.06929944,30.28740817
